stimulus-in-set-letter-R , 3803.79109431
response-was-correct , 3804.32120701
trial-end , 3804.38820701
trial-begin , 3804.38820701
stimulus-not-in-set-letter-F , 3805.28920701
response-was-correct , 3805.86920701
trial-end , 3805.92720701
trial-begin , 3805.92720701
stimulus-not-in-set-letter-W , 3806.82823626
response-was-correct , 3807.33723626
trial-end , 3807.42423626
trial-begin , 3807.42423626
stimulus-not-in-set-letter-M , 3808.32523732
response-was-correct , 3808.83423732
trial-end , 3808.93523732
trial-begin , 3808.93523732
stimulus-in-set-letter-R , 3809.83723732
response-was-correct , 3810.35425807
trial-end , 3810.41125807
trial-begin , 3810.41225807
stimulus-in-set-letter-G , 3811.31325807
response-was-incorrect , 3811.85125807
trial-end , 3811.95925807
trial-begin , 3811.95925807
stimulus-in-set-letter-L , 3812.86028198
response-was-correct , 3813.83328198
trial-end , 3813.87728198
trial-begin , 3813.87828198
stimulus-not-in-set-letter-Y , 3814.77949088
response-was-correct , 3815.33149088
trial-end , 3815.44649088
trial-begin , 3815.44649088
stimulus-in-set-letter-R , 3816.34737007
response-was-correct , 3816.80737007
trial-end , 3816.89837007
trial-begin , 3816.89837007
stimulus-in-set-letter-Z , 3817.79937007
response-was-correct , 3817.94442054
trial-end , 3818.22442054
trial-begin , 3818.22542054
stimulus-in-set-letter-C , 3819.12642054
response-was-correct , 3819.69442054
trial-end , 3819.77642054
trial-begin , 3819.77642054
stimulus-in-set-letter-C , 3820.67840907
response-was-correct , 3821.11540907
trial-end , 3821.21340907
trial-begin , 3821.21340907
stimulus-not-in-set-letter-P , 3822.11452076
response-was-incorrect , 3822.63652076
trial-end , 3822.67852076
trial-begin , 3822.67852076
stimulus-not-in-set-letter-B , 3823.58052076
response-was-correct , 3824.17846613
trial-end , 3824.28546613
trial-begin , 3824.28546613
stimulus-in-set-letter-C , 3825.18746613
response-was-correct , 3825.88646613
trial-end , 3825.95146613
trial-begin , 3825.95146613
stimulus-in-set-letter-L , 3826.85254304
